id,text
1,Śniadanie podawane jest codziennie w restauracji na parterze w godzinach od 7:00 do 10:00.
2,Doba hotelowa rozpoczyna się o godzinie 15:00 a kończy o godzinie 11:00 następnego dnia.
3,Basen oraz strefa saun są dostępne dla gości bez dodatkowych opłat w godzinach od 8:00 do 22:00.
4,Zwierzęta domowe są akceptowane za dodatkową opłatą wynoszącą 50 PLN za dobę pobytu.
5,Własny parking przed hotelem jest płatny 40 PLN za dzień i nie wymaga wcześniejszej rezerwacji.
6,W całym obiekcie obowiązuje bezwzględny zakaz palenia poza wyznaczonymi do tego strefami zewnętrznymi.
7,Szybkie WiFi jest darmowe i dostępne w całym hotelu pod nazwą sieci Hotel_Guest.
8,Całodobowa recepcja jest do dyspozycji gości w celu zgłaszania wszelkich usterek oraz potrzeb.
9,Usługa późniejszego wymeldowania jest możliwa po konsultacji z recepcją i podlega dodatkowej opłacie.
10,Codzienne sprzątanie pokoi odbywa się w godzinach od 9:00 do 14:00 na życzenie gościa potwierdzone wywieszką na klamce.
11,Kelnerzy mają obowiązek polerowania sztućców wyłącznie przy użyciu białych rękawiczek.
12,Ratownik musi dokonywać pomiaru chloru i temperatury wody w basenie co równe trzy godziny.
13,Terapeuci SPA są zobowiązani do uzupełnienia świeżych ręczników po każdym zakończonym zabiegu.
14,Recepcja musi zweryfikować tożsamość każdego gościa przed wydaniem duplikatu karty do pokoju.
15,Zabrania się wchodzenia do strefy barowej w brudnym obuwiu roboczym lub stroju technicznym.
16,Wszystkie usterki zgłoszone przez gości w pokojach muszą zostać usunięte w ciągu maksymalnie 20 minut.
17,Pracownicy kuchni mają obowiązek opisywania datą i godziną każdej otwartej partii produktów spożywczych.
18,Obsługa pięter musi raportować znalezienie jakichkolwiek przedmiotów wartościowych natychmiast po sprzątaniu pokoju.
19,W strefie saun obowiązuje bezwzględny zakaz używania telefonów komórkowych przez personel i gości.
